图片名,分辨率1,分辨率2,相似性检验结果
TRNPThunderstorm_ZH-CN0178957327,768x1280,1024x768,0.940721
TRNPThunderstorm_ZH-CN0178957327,768x1280,800x600,0.93563
TRNPThunderstorm_ZH-CN0178957327,768x1280,800x480,0.906878
TRNPThunderstorm_ZH-CN0178957327,768x1280,768x1280,1
TRNPThunderstorm_ZH-CN0178957327,768x1280,720x1280,0.99826
TRNPThunderstorm_ZH-CN0178957327,768x1280,640x480,0.935331
TRNPThunderstorm_ZH-CN0178957327,768x1280,480x800,0.92928
TRNPThunderstorm_ZH-CN0178957327,768x1280,400x240,0.894999
TRNPThunderstorm_ZH-CN0178957327,768x1280,320x240,0.929366
TRNPThunderstorm_ZH-CN0178957327,768x1280,240x320,0.920703
AmboseliHerd_ZH-CN0249135007,768x1280,1920x1080,0.874876
AmboseliHerd_ZH-CN0249135007,768x1280,1366x768,0.875776
AmboseliHerd_ZH-CN0249135007,768x1280,1280x768,0.92623
AmboseliHerd_ZH-CN0249135007,768x1280,1024x768,0.876636
AmboseliHerd_ZH-CN0249135007,768x1280,800x600,0.911626
AmboseliHerd_ZH-CN0249135007,768x1280,800x480,0.937345
AmboseliHerd_ZH-CN0249135007,768x1280,768x1280,1
AmboseliHerd_ZH-CN0249135007,768x1280,720x1280,0.999543
AmboseliHerd_ZH-CN0249135007,768x1280,640x480,0.910981
AmboseliHerd_ZH-CN0249135007,768x1280,480x800,0.970453
AmboseliHerd_ZH-CN0249135007,768x1280,400x240,0.947146
AmboseliHerd_ZH-CN0249135007,768x1280,320x240,0.917987
AmboseliHerd_ZH-CN0249135007,768x1280,240x320,0.874229
MartianSouthPole_ZH-CN0324422893,768x1280,1920x1080,0.863831
MartianSouthPole_ZH-CN0324422893,768x1280,1366x768,0.844264
MartianSouthPole_ZH-CN0324422893,768x1280,1280x768,0.854147
MartianSouthPole_ZH-CN0324422893,768x1280,1024x768,0.895472
MartianSouthPole_ZH-CN0324422893,768x1280,800x600,0.902541
MartianSouthPole_ZH-CN0324422893,768x1280,800x480,0.873873
MartianSouthPole_ZH-CN0324422893,768x1280,768x1280,1
MartianSouthPole_ZH-CN0324422893,768x1280,720x1280,0.995773
MartianSouthPole_ZH-CN0324422893,768x1280,640x480,0.902184
MartianSouthPole_ZH-CN0324422893,768x1280,480x800,0.962065
MartianSouthPole_ZH-CN0324422893,768x1280,400x240,0.859461
MartianSouthPole_ZH-CN0324422893,768x1280,320x240,0.885219
MartianSouthPole_ZH-CN0324422893,768x1280,240x320,0.951469
HornedAnole_ZH-CN0388959247,768x1280,1920x1080,0.920276
HornedAnole_ZH-CN0388959247,768x1280,1366x768,0.903996
HornedAnole_ZH-CN0388959247,768x1280,1280x768,0.907467
HornedAnole_ZH-CN0388959247,768x1280,1024x768,0.90848
HornedAnole_ZH-CN0388959247,768x1280,800x600,0.924986
HornedAnole_ZH-CN0388959247,768x1280,800x480,0.893259
HornedAnole_ZH-CN0388959247,768x1280,768x1280,1
HornedAnole_ZH-CN0388959247,768x1280,720x1280,0.996506
HornedAnole_ZH-CN0388959247,768x1280,640x480,0.923156
HornedAnole_ZH-CN0388959247,768x1280,480x800,0.986145
HornedAnole_ZH-CN0388959247,768x1280,400x240,0.879682
HornedAnole_ZH-CN0388959247,768x1280,320x240,0.907484
HornedAnole_ZH-CN0388959247,768x1280,240x320,0.969951
SmogenSweden_ZH-CN0457682922,768x1280,1920x1080,0.812084
SmogenSweden_ZH-CN0457682922,768x1280,1366x768,0.791287
SmogenSweden_ZH-CN0457682922,768x1280,1280x768,0.771367
SmogenSweden_ZH-CN0457682922,768x1280,1024x768,0.698554
SmogenSweden_ZH-CN0457682922,768x1280,800x600,0.0443859
SmogenSweden_ZH-CN0457682922,768x1280,800x480,0.0584606
SmogenSweden_ZH-CN0457682922,768x1280,768x1280,1
SmogenSweden_ZH-CN0457682922,768x1280,720x1280,0.07165
SmogenSweden_ZH-CN0457682922,768x1280,640x480,0.71976
SmogenSweden_ZH-CN0457682922,768x1280,480x800,0.844612
SmogenSweden_ZH-CN0457682922,768x1280,400x240,0.375105
